ell  q  S
0.177940645 0.1043831817 4.47056403
0.1779701115 0.1044167429 4.484975997
0.1779988036 0.1044494338 4.499211646
0.1780267397 0.1044812745 4.513269714
0.1780539379 0.1045122846 4.527148952
0.1780804156 0.1045424832 4.540848127
0.1781061897 0.104571889 4.554366022
0.1781312768 0.1046005199 4.567701436
0.1781556929 0.1046283935 4.580853185
0.1781794535 0.1046555269 4.5938201
0.1782025737 0.1046819366 4.60660103
0.1782250682 0.1047076389 4.61919484
0.1782469512 0.1047326494 4.631600411
0.1782682366 0.1047569833 4.64381664
0.1782889377 0.1047806555 4.655842444
0.1783090676 0.1048036803 4.667676753
0.1783286389 0.1048260716 4.679318516
0.1783476638 0.1048478431 4.6907667
0.1783661543 0.104869008 4.702020287
0.1783841218 0.1048895788 4.713078278
0.1784015776 0.1049095682 4.723939691
0.1784185324 0.1049289881 4.73460356
0.1784349967 0.1049478501 4.745068939
0.1784509808 0.1049661656 4.755334898
0.1784664944 0.1049839455 4.765400526
0.1784815472 0.1050012005 4.775264927
0.1784961483 0.1050179409 4.784927226
0.1785103067 0.1050341765 4.794386564
0.178524031 0.1050499172 4.803642102
0.1785373296 0.1050651722 4.812693017
0.1785502105 0.1050799505 4.821538505
0.1785626817 0.105094261 4.830177781
0.1785747507 0.105108112 4.838610077
0.1785864246 0.1051215117 4.846834644
0.1785977107 0.105134468 4.854850752
0.1786086157 0.1051469885 4.862657688
0.1786191461 0.1051590806 4.870254759
0.1786293082 0.1051707513 4.877641291
0.1786391082 0.1051820076 4.884816626
0.1786485518 0.1051928558 4.891780129
0.1786576448 0.1052033024 4.89853118
0.1786663925 0.1052133535 4.905069179
0.1786748001 0.1052230148 4.911393546
0.1786828726 0.105232292 4.917503719
0.1786906148 0.1052411905 4.923399156
0.1786980313 0.1052497155 4.929079332
0.1787051264 0.1052578717 4.934543744
0.1787119043 0.105265664 4.939791905
0.178718369 0.1052730969 4.94482335
0.1787245243 0.1052801746 4.949637631
0.1787303738 0.1052869011 4.954234321
0.1787359209 0.1052932805 4.958613012
0.178741169 0.1052993162 4.962773315
0.1787461209 0.1053050118 4.966714861
0.1787507798 0.1053103706 4.970437298
0.1787551481 0.1053153955 4.973940297
0.1787592286 0.1053200895 4.977223546
0.1787630235 0.1053244553 4.980286753
0.1787665351 0.1053284953 4.983129648
0.1787697654 0.1053322118 4.985751976
0.1787727163 0.1053356071 4.988153506
0.1787753895 0.1053386829 4.990334023
0.1787777866 0.105341441 4.992293334
0.1787799088 0.1053438831 4.994031266
0.1787817576 0.1053460104 4.995547663
0.1787833338 0.1053478243 4.996842392
0.1787846386 0.1053493257 4.997915336
0.1787856725 0.1053505155 4.998766401
0.1787864362 0.1053513943 4.999395511
0.1787869301 0.1053519628 4.999802611
0.1787871546 0.1053522211 4.999987663
0.1787871097 0.1053522383 4.999950652
0.1787867954 0.1053522383 4.999691581
0.1787862116 0.1053522383 4.999210473
0.1787853579 0.1053522383 4.998507371
0.1787842338 0.1053522383 4.997582337
0.1787828386 0.1053522383 4.996435453
0.1787811716 0.1053522383 4.995066821
0.1787792319 0.1053522383 4.993476563
0.1787770181 0.1053522383 4.99166482
0.1787745292 0.1053522383 4.989631753
0.1787717636 0.1053522383 4.987377542
0.1787687198 0.1053522383 4.984902389
0.1787653959 0.1053522383 4.982206511
0.1787617901 0.1053522383 4.97929015
0.1787579003 0.1053522383 4.976153564
0.1787537241 0.1053522383 4.972797032
0.1787492592 0.1053522383 4.969220851
0.178744503 0.1053522383 4.965425341
0.1787394527 0.1053522383 4.961410836
0.1787341053 0.1053522383 4.957177695
0.1787284577 0.1053522383 4.952726294
0.1787225067 0.1053522383 4.948057027
0.1787162486 0.1053522383 4.943170309
0.17870968 0.1053522383 4.938066575
0.1787027968 0.1053522383 4.932746277
0.178695595 0.1053522383 4.92720989
0.1786880705 0.1053522383 4.921457903
0.1786802187 0.1053522383 4.915490828
0.1786720351 0.1053522383 4.909309196
0.1786635146 0.1053522383 4.902913554
0.1786546525 0.1053522383 4.896304473
0.1786454432 0.1053522383 4.889482537
0.1786358814 0.1053522383 4.882448354
0.1786259614 0.1053522383 4.875202548
0.1786156772 0.1053522383 4.867745762
0.1786050226 0.1053522383 4.86007866
0.1785939914 0.1053522383 4.852201922
0.1785825768 0.1053522383 4.844116248
0.1785707719 0.1053522383 4.835822356
0.1785585697 0.1053522383 4.827320983
0.1785459628 0.1053522383 4.818612883
0.1785329435 0.1053522383 4.809698831
0.1785195039 0.1053522383 4.800579618
0.1785056359 0.1053522383 4.791256055
0.1784913309 0.1053522383 4.781728969
0.1784765802 0.1053522383 4.771999206
0.1784613749 0.1053522383 4.762067631
0.1784457055 0.1053522383 4.751935127
0.1784295625 0.1053522383 4.741602592
0.1784129358 0.1053522383 4.731070945
0.1783958152 0.1053522383 4.720341122
0.1783781901 0.1053522383 4.709414075
0.1783600495 0.1053522383 4.698290775
0.1783413821 0.1053522383 4.686972211
0.1783221764 0.1053522383 4.675459387
0.1783024203 0.1053522383 4.663753326
0.1782821014 0.1053522383 4.651855068
0.178261207 0.1053522383 4.639765669
0.1782397239 0.1053522383 4.627486204
0.1782176386 0.1053522383 4.615017764
0.1781949372 0.1053522383 4.602361456
0.1781716052 0.1053522383 4.589518403
0.1781476278 0.1053522383 4.576489748
0.1781229898 0.1053522383 4.563276647
0.1780976755 0.1053522383 4.549880273
0.1780716687 0.1053522383 4.536301818
0.1780449527 0.1053522383 4.522542486
0.1780175106 0.1053522383 4.5086035
0.1779893245 0.1053522383 4.494486099
0.1779603763 0.1053522383 4.480191536
0.1779306475 0.1053522383 4.46572108
0.1779001187 0.1053522383 4.451076018
0.1778687702 0.1053522383 4.43625765
0.1778365816 0.1053522383 4.421267293
0.1778035321 0.1053522383 4.406106278
0.1777696001 0.1053522383 4.390775951
0.1777347635 0.1053522383 4.375277674
0.1776989995 0.1053522383 4.359612825
0.1776622848 0.1053522383 4.343782793
0.1776245952 0.1053522383 4.327788987
0.1775859061 0.1053522383 4.311632825
0.177546192 0.1053522383 4.295315744
0.1775054268 0.1053522383 4.278839193
0.1774635836 0.1053522383 4.262204635
0.1774206348 0.1053522383 4.245413547
0.1773765521 0.1053522383 4.228467422
0.1773313063 0.1053522383 4.211367765
0.1772848675 0.1053522383 4.194116094
0.1772372048 0.1053522383 4.176713941
0.1771882867 0.1053522383 4.159162854
0.1771380808 0.1053522383 4.141464389
0.1770865535 0.1053522383 4.123620121
0.1770336708 0.1053522383 4.105631633
0.1769793975 0.1053522383 4.087500524
0.1769236973 0.1053522383 4.069228403
0.1768665333 0.1053522383 4.050816895
0.1768078674 0.1053522383 4.032267634
0.1767476605 0.1053522383 4.013582268
0.1766858725 0.1053522383 3.994762458
0.1766224622 0.1053522383 3.975809873
0.1765573874 0.1053522383 3.956726199
0.1764906048 0.1053522383 3.93751313
0.1764220698 0.1053522383 3.918172373
0.1763517368 0.1053522383 3.898705645
0.1762795591 0.1053522383 3.879114677
0.1762054886 0.1053522383 3.859401207
0.1761294761 0.1053522383 3.839566987
0.1760514711 0.1053522383 3.81961378
0.1759714219 0.1053522383 3.799543357
0.1758892753 0.1053522383 3.7793575
0.1758049769 0.1053522383 3.759058004
0.175718471 0.1053522383 3.738646671
0.1756297005 0.1053522383 3.718125314
0.1755386068 0.1053522383 3.697495757
0.1754451299 0.1053522383 3.67675983
0.1753492083 0.1053522383 3.655919378
0.175250779 0.1053522383 3.634976249
0.1751497777 0.1053522383 3.613932306
0.1750461382 0.1053522383 3.592789417
0.174939793 0.1053522383 3.571549459
